date,close,regime,p_bull,exposure,ret,equity,trade
2024-12-31,580.9892,BULL,0.99845,1.0,-0.003638,996361.93,BUY
2025-01-02,579.5617,BULL,0.9989,1.0,-0.002457,993913.97,HOLD
2025-01-03,586.8082,BULL,0.996368,1.0,0.012503,1006341.22,HOLD
2025-01-06,590.1885,BULL,0.998024,1.0,0.005761,1012138.36,HOLD
2025-01-07,583.517,BULL,0.993838,1.0,-0.011304,1000697.12,HOLD
2025-01-08,584.3696,BULL,0.99748,1.0,0.001461,1002159.17,HOLD
2025-01-10,575.4477,BULL,0.976807,1.0,-0.015267,986858.79,HOLD
2025-01-13,576.3399,BULL,0.991637,1.0,0.00155,988388.88,HOLD
2025-01-14,577.1329,BULL,0.996386,1.0,0.001376,989748.88,HOLD
2025-01-15,587.631,BULL,0.947603,1.0,0.01819,1007752.41,HOLD
2025-01-16,586.5009,BULL,0.96586,1.0,-0.001923,1005814.31,HOLD
2025-01-17,592.3893,BULL,0.952891,1.0,0.01004,1015912.62,HOLD
2025-01-21,597.8118,BULL,0.93536,1.0,0.009154,1025211.86,HOLD
2025-01-22,601.1724,BULL,0.991052,1.0,0.005621,1030975.08,HOLD
2025-01-23,604.4536,BULL,0.998025,1.0,0.005458,1036602.34,HOLD
2025-01-24,602.689,BULL,0.99902,1.0,-0.002919,1033576.18,HOLD
2025-01-27,594.1638,BULL,0.993004,1.0,-0.014145,1018955.95,HOLD
2025-01-28,599.269,BULL,0.997382,1.0,0.008592,1027711.32,HOLD
2025-01-29,596.5825,BULL,0.998406,1.0,-0.004483,1023104.19,HOLD
2025-01-30,599.7845,BULL,0.998926,1.0,0.005367,1028595.37,HOLD
2025-01-31,596.5924,BULL,0.998983,1.0,-0.005322,1023121.14,HOLD
2025-02-03,592.5776,BULL,0.998741,1.0,-0.00673,1016235.94,HOLD
2025-02-04,596.5529,BULL,0.99896,1.0,0.006708,1023053.21,HOLD
2025-02-05,598.9716,BULL,0.999294,1.0,0.004054,1027201.14,HOLD
2025-02-06,601.0534,BULL,0.999354,1.0,0.003476,1030771.39,HOLD
2025-02-07,595.5516,BULL,0.998686,1.0,-0.009154,1021336.07,HOLD
2025-02-10,599.5961,BULL,0.999164,1.0,0.006791,1028272.14,HOLD
2025-02-11,600.0522,BULL,0.999561,1.0,0.000761,1029054.25,HOLD
2025-02-12,598.1191,BULL,0.999507,1.0,-0.003221,1025739.19,HOLD
2025-02-13,604.4338,BULL,0.999051,1.0,0.010558,1036568.63,HOLD
2025-02-14,604.404,BULL,0.999601,1.0,-4.9e-05,1036517.55,HOLD
