date,swan_ret_overlay,swan_equity_overlay,regime,p_bull,swan_ret_bh,swan_equity_bh,spy_ret_bh,spy_equity_bh
2024-12-31,0.000000,1000000.000000,BULL,0.998400,0.000000,1000000.000000,0.000000,1000000.000000
2025-01-02,0.000408,1000408.075516,BULL,0.998900,0.000510,1000510.094395,-0.002457,997542.895328
2025-01-03,0.009527,1009939.422380,BULL,0.996400,0.011909,1012425.492951,0.012503,1010015.624660
2025-01-06,0.001220,1011171.245591,BULL,0.998000,0.001525,1013969.062291,0.005761,1015833.927500
2025-01-07,-0.007647,1003438.646075,BULL,0.993800,-0.009559,1004276.568666,-0.011304,1004350.805506
2025-01-08,0.001356,1004799.104171,BULL,0.997500,0.001695,1005978.561352,0.001461,1005818.092733
2025-01-10,-0.013281,991453.865056,BULL,0.976800,-0.016602,989277.431257,-0.015267,990461.950176
2025-01-13,0.001352,992793.891334,BULL,0.991600,0.001689,990948.787082,0.001550,991997.627464
2025-01-14,0.003899,996664.411402,BULL,0.996400,0.004873,995777.945481,0.001376,993362.592233
2025-01-15,0.014853,1011467.577276,BULL,0.947600,0.018566,1014265.444799,0.018190,1011431.855712
2025-01-16,0.001248,1012729.768037,BULL,0.965900,0.001560,1015847.547506,-0.001923,1009486.678488
2025-01-17,0.008825,1021667.126319,BULL,0.952900,0.011031,1027053.638433,0.010040,1019621.854438
2025-01-21,0.014465,1036445.602446,BULL,0.935400,0.018081,1045624.128867,0.009153,1028954.944186
2025-01-22,0.005313,1041951.923661,BULL,0.991100,0.006641,1052567.983795,0.005621,1034739.209577
2025-01-23,0.003149,1045232.890514,BULL,0.998000,0.003936,1056710.978049,0.005458,1040387.010006
2025-01-24,-0.001864,1043284.704015,BULL,0.999000,-0.002330,1054249.002732,-0.002919,1037349.797934
2025-01-27,-0.010206,1032636.541622,BULL,0.993000,-0.012758,1040798.917463,-0.014145,1022676.085235
2025-01-28,0.005422,1038235.524671,BULL,0.997400,0.006778,1047852.967050,0.008592,1031463.315140
2025-01-29,-0.004718,1033337.430781,BULL,0.998400,-0.005897,1041673.634310,-0.004483,1026839.264552
2025-01-30,0.008163,1041772.737725,BULL,0.998900,0.010204,1052302.830276,0.005367,1032350.494967
2025-01-31,-0.000991,1040740.590983,BULL,0.999000,-0.001238,1050999.605855,-0.005322,1026856.388330
2025-02-03,-0.004818,1035726.105383,BULL,0.998700,-0.006023,1044669.711505,-0.006730,1019946.050642
2025-02-04,0.006347,1042300.369083,BULL,0.999000,0.007934,1052958.502972,0.006708,1026788.208377
2025-02-05,0.003536,1045985.711997,BULL,0.999300,0.004420,1057612.287612,0.004054,1030951.282639
2025-02-06,-0.000208,1045768.113404,BULL,0.999400,-0.000260,1057337.265994,0.003476,1034534.459609
2025-02-07,-0.006250,1039232.128553,BULL,0.998700,-0.007812,1049076.901837,-0.009154,1025064.694792
2025-02-10,0.006896,1046398.529812,BULL,0.999200,0.008620,1058119.763656,0.006791,1032026.298762
2025-02-11,0.003203,1049750.512479,BULL,0.999600,0.004004,1062356.676036,0.000761,1032811.261185
2025-02-12,-0.005319,1044166.398644,BULL,0.999500,-0.006649,1055292.711143,-0.003222,1029483.995413
2025-02-13,0.009943,1054548.567651,BULL,0.999100,0.012429,1068408.708858,0.010558,1040352.867503
2025-02-14,-0.004400,1049908.335073,BULL,0.999600,-0.005500,1062532.183764,-0.000049,1040301.601220
2025-02-18,0.006093,1056305.032672,BULL,0.999600,0.007616,1070624.196230,0.002936,1043355.832018
2025-02-19,0.000019,1056325.134064,BULL,0.999600,0.000024,1070649.663585,0.002355,1045812.831635
2025-02-20,-0.004683,1051378.485289,BULL,0.999600,-0.005854,1064382.502467,-0.004160,1041461.816022
2025-02-21,-0.012016,1038745.379273,BULL,0.994600,-0.015020,1048395.803595,-0.017104,1023648.568794
2025-02-24,0.000495,1039260.003230,BULL,0.999200,0.000619,1049045.059910,-0.004550,1018990.585809
2025-02-25,-0.002630,1036526.883710,BULL,0.999400,-0.003287,1045596.493716,-0.004973,1013922.892780
2025-02-26,-0.000905,1035588.513058,BULL,0.999600,-0.001132,1044413.266972,0.000505,1014434.820227
2025-02-27,-0.006936,1028405.972666,BULL,0.996300,-0.008670,1035358.584078,-0.015962,998242.343911
2025-02-28,0.013309,1042093.419549,BULL,0.996200,0.016637,1052583.561374,0.015606,1013820.570323
2025-03-03,-0.011251,1030368.370830,BULL,0.984700,-0.014064,1037779.714010,-0.017520,996058.484323
2025-03-04,-0.008312,1021803.625171,BULL,0.991300,-0.010390,1026996.775170,-0.011837,984268.289903
2025-03-05,0.010398,1032428.765361,BULL,0.995700,0.012998,1040345.701080,0.010748,994847.108293
2025-03-06,-0.019080,1012730.087626,BULL,0.964700,-0.023850,1015533.535600,-0.017751,977187.344750
2025-03-07,0.005523,1018323.533029,BULL,0.990300,0.006904,1022544.697132,0.005605,982664.327608
2025-03-10,-0.000312,1018006.203965,BEAR,0.155500,-0.020780,1001295.899003,-0.026635,956490.579243
2025-03-11,-0.000613,1017382.628268,BEAR,0.132000,-0.008364,992920.813355,-0.008313,948539.367935
2025-03-12,-0.000155,1017225.034204,BEAR,0.204500,0.007798,1000663.569210,0.005307,953572.813406
2025-03-13,0.000227,1017456.222091,BEAR,0.066100,-0.003175,997486.297174,-0.013330,940861.296657
2025-03-14,0.000575,1018041.408386,BEAR,0.001400,0.018049,1015490.220972,0.020656,960295.419851
2025-03-17,0.000609,1018661.809120,BEAR,0.004200,0.008011,1023625.236551,0.007711,967700.561208
2025-03-18,-0.000131,1018528.430833,BEAR,0.001800,-0.009409,1013994.296761,-0.010808,957241.294108
2025-03-19,0.000307,1018840.760665,BEAR,0.001600,0.009789,1023920.481341,0.010891,967666.418705
2025-03-20,0.000099,1018941.211910,BEAR,0.003000,0.001646,1025606.361309,-0.002892,964868.204158
2025-03-21,-0.000448,1018484.238892,BEAR,0.003600,-0.005353,1020115.928509,0.000330,965186.517346
2025-03-24,0.000479,1018972.180758,BEAR,0.000200,0.015880,1036315.319832,0.017908,982471.553779
2025-03-25,0.000338,1019316.650403,BEAR,0.001600,0.005200,1041703.751769,0.002404,984833.269548
2025-03-26,-0.000061,1019254.005387,BEAR,0.000300,-0.012126,1029072.315087,-0.011938,973076.062039
2025-03-27,0.000220,1019478.185028,BEAR,0.001100,-0.001627,1027398.090455,-0.002656,970491.842200
2025-03-28,-0.000604,1018862.233744,BEAR,0.000000,-0.020979,1005844.532711,-0.020138,950947.832671
2025-03-31,0.000461,1019331.668988,BEAR,0.001300,0.002391,1008249.624090,0.006713,957331.325264
